0,1,2
64.º,Kazajistán,20 592 575
65.º,Chad,20 299 130
66.º,Chile,19 764 772
67.º,Rumania,19 015 096
68.º,Somalia,19 009 156
69.º,Senegal,18 501 989
70.º,Guatemala,18 406 367
71.º,Países Bajos,18 228 738
72.º,Ecuador,18 135 478
73.º,Camboya,17 638 804
74.º,Zimbabue,16 634 366
75.º,Guinea,14 754 780
76.º,Benín,14 462 720
77.º,Ruanda,14 256 573
78.º,Burundi,14 047 788
79.º,Bolivia,12 413 319
80.º,Túnez,12 277 103
81.º,Sudán del Sur,11 943 411
82.º,Haití,11 772 561
83.º,Bélgica,11 738 761
84.º,Jordania,11 552 883
85.º,República Dominicana,11 427 558
86.º,Emiratos Árabes Unidos,11 027 134
87.º,Cuba,10 979 781
88.º,Honduras,10 825 704
89.º,Chequia,10 735 858
90.º,Suecia,10 606 994
91.º,Tayikistán,10 590 929
92.º,Papúa Nueva Guinea,10 576 508
93.º,Portugal,10 425 291
94.º,Azerbaiyán,10 336 579
95.º,Grecia,10 047 813
96.º,Hungría,9 676 135
97.º,Togo,9 515 238
98.º,Israel,9 387 015
99.º,Austria,9 120 816
100.º,Bielorrusia,9 056 698
101.º,Suiza,8 921 980
102.º,Sierra Leona,8 642 029
103.º,Laos,7 769 823
104.º,Turkmenistán,7 494 494
105.º,Hong Kong,7 414 915
106.º,Libia,7 381 028
107.º,Kirguistán,7 186 014
108.º,Paraguay,6 929 152
109.º,Nicaragua,6 916 135
110.º,Bulgaria,6 757 687
111.º,Serbia,6 736 217
112.º,El Salvador,6 338 198
113.º,Congo,6 332 969
114.º,Dinamarca,5 977 417
115.º,Singapur,5 832 387
116.º,Líbano,5 805 963
117.º,Finlandia,5 617 313
118.º,Liberia,5 612 812
119.º,Noruega,5 576 655
120.º,Eslovaquia,5 506 759
121.º,Palestina,5 495 445
122.º,República Centroafricana,5 330 692
123.º,Omán,5 281 542
124.º,Irlanda,5 255 018
125.º,Nueva Zelanda,5 213 946
126.º,Mauritania,5 169 402
127.º,Costa Rica,5 129 910
128.º,Kuwait,4 934 508
129.º,Panamá,4 515 575
130.º,Croacia,3 875 325
131.º,Georgia,3 807 668
132.º,Eritrea,3 535 610
133.º,Mongolia,3 475 540
134.º,Uruguay,3 386 582
135.º,Puerto  Rico,3 242 212
136.º,Bosnia y Herzegovina,3 164 255
137.º,Catar,3 048 428
138.º,Moldavia,3 034 968
139.º,Namibia,3 030 127
140.º,Armenia,2 973 843
141.º,Lituania,2 859 113
142.º,Jamaica,2 839 183
143.º,Albania,2 791 757
144.º,Gambia,2 759 999
145.º,Gabón,2 538 954
146.º,Botsuana,2 521 145
147.º,Lesoto,2 337 427
148.º,Guinea-Bisáu,2 201 359
149.º,Eslovenia,2 118 690
150.º,Guinea Ecuatorial,1 892 522
151.º,Letonia,1 871 874
152.º,Macedonia del Norte,1 823 011
153.º,Kosovo,1 684 797
154.º,Baréin,1 607 060
155.º,Trinidad y Tobago,1 507 779
156.º,Timor Oriental,1 400 638
157.º,Estonia,1 360 549
158.º,Chipre,1 358 287
159.º,Mauricio,1 271 171
160.º,Esuatini,1 242 830
161.º,Yibuti,1 168 727
162.º,Fiyi,928 802
163.º,Reunión,878 595
164.º,Comoras,866 633
165.º,Guyana,831 093
166.º,Islas Salomón,819 207
167.º,Bután,791 530
168.º,Macao,720 270
169.º,Luxemburgo,673 043
170.º,Montenegro,638 485
171.º,Surinam,634 438
172.º,Sahara Occidental,590 514
173.º,Malta,539 613
174.º,Maldivas,527 801
175.º,Cabo Verde,524 877
176.º,Brunéi,462 733
177.º,Belice,417 077
178.º,Bahamas,401 281
179.º,Islandia,393 404
180.º,Guadalupe,375 112
181.º,Martinica,343 202
182.º,Vanuatu,327 787
183.º,Mayotte,326 513
184.º,Guayana Francesa,308 536
185.º,Nueva Caledonia,292 655
186.º,Barbados,282 476
187.º,Polinesia Francesa,281 815
188.º,Santo Tomé y Príncipe,235 548
189.º,Samoa,218 030
190.º,Curazao,185 481
191.º,Santa Lucía,179 751
192.º,Guam,167 788
193.º,Kiribati,134 520
194.º,Seychelles,130 436
195.º,Granada,117 216
196.º,Estados Federados de Micronesia,113 172
197.º,Aruba,108 076
198.º,Tonga,104 190
199.º,Jersey,103 856
200.º,San Vicente y las Granadinas,100 630
201.º,Antigua y Barbuda,93 784
202.º,Islas Vírgenes de los Estados Unidos,84 922
203.º,Isla de Man,84 182
204.º,Andorra,81 954
205.º,Islas Caimán,74 476
206.º,Dominica,66 224
207.º,Bermudas,64 658
208.º,Guernsey,64 304
209.º,Groenlandia,55 864
210.º,Islas Feroe,55 418
211.º,San Cristóbal y Nieves,46 867
212.º,Samoa Americana,46 790
213.º,Islas Turcas y Caicos,46 562
214.º,Islas Marianas del Norte,44 299
215.º,San Martín (Países Bajos),43 372
216.º,Liechtenstein,39 894
217.º,Islas Vírgenes Británicas,39 498
218.º,Gibraltar,39 348
219.º,Mónaco,38 656
220.º,Islas Marshall,37 572
221.º,San Marino,33 606
222.º,"Bonaire, San Eustaquio y Saba",30 699
223.º,San Martín (Francia),26 155
224.º,Palaos,17 719
225.º,Anguila,14 623
226.º,Islas Cook,13 749
227.º,Nauru,11 968
228.º,Wallis y Futuna,11 303
229.º,San Bartolomé,11 282
230.º,Tuvalu,9 669
231.º,San Pedro y Miquelón,5 652
232.º,Santa Helena,5 262
233.º,Montserrat,4 414
234.º,Islas Malvinas,3 492
235.º,Tokelau,2 528
236.º,Niue,1 841
237º,Vaticano,507
